,dissimilarity,contrast,homogeneity,energy,ASM,correlation,Label
106,3.045848957137634,69.82100221921792,0.4644137787986751,0.16792526066505897,0.028198893169428,0.9434416035464369,0.0
107,6.326665051144046,199.86303981838122,0.34559414841260994,0.16570605444745684,0.02745849648054353,0.9389091121146744,0.0
108,6.07637808330995,190.29825310988107,0.34609885277969166,0.16185837835557795,0.026198134643897423,0.9431473134434528,0.0
109,6.351476077511075,152.66717470601742,0.34740329861706076,0.17455305789857364,0.030468770021742805,0.9565350200285968,0.0
110,8.084619374367609,321.6884337083046,0.3200215069460061,0.17115434536031165,0.029293809935716834,0.9440096934774224,0.0
111,4.639897881964816,257.3879018612522,0.4221968843693023,0.15706384568121276,0.024669051620171814,0.9421864469623364,0.0
112,5.223348128119447,168.97156042479745,0.38391785198111844,0.16640463467958985,0.02769050244284776,0.92649185837745,0.0
113,7.66547415588943,474.7174854815532,0.39222540096523295,0.22788761633148644,0.051932765677246764,0.9362851450719191,0.0
114,5.556596433946381,388.87376178693813,0.4552744754449233,0.23043927081049484,0.05310225753167258,0.9248603039885744,0.0
115,7.716156926765808,626.7424049179909,0.3734349967280658,0.1671748185386599,0.027947419953433868,0.933710089660678,0.0
116,9.05063175437254,1058.1555812055199,0.3673067270622624,0.16815113826687253,0.028274805300444884,0.917495120842929,0.0
117,5.46866098682924,201.285494732546,0.3922327959657003,0.17091825818103662,0.029213050979639495,0.9421881635123754,0.0
118,6.091731925277827,217.12333239803078,0.3655094247796332,0.16940095202997874,0.028696682548663154,0.9471277572497028,0.0
119,5.029634211667474,173.06989048457174,0.3828337364701773,0.1552800987795505,0.024111909076986963,0.917142335045245,0.0
120,3.752261731670195,99.08754219490005,0.4639431661993625,0.16408851662051124,0.026925041286719797,0.9438555690692055,0.0
121,6.291272351605745,219.63827810796792,0.3518038857195027,0.1722418876600205,0.029667267864687118,0.9456358229374435,0.0
122,6.390556845139403,220.8494545485465,0.34715587317337887,0.17175892362891004,0.02950112784616175,0.9469902357302002,0.0
123,3.2848974143135306,48.9355534015254,0.43855365035064087,0.14990330315548878,0.02247100029692637,0.9365815896221046,0.0
124,2.82645673375337,67.60342958447059,0.5242392929049192,0.1664273700902432,0.027698069515154775,0.9217754030236528,0.0
125,3.867106258874746,132.4920839391543,0.4608260529754002,0.16558310240227164,0.027417763801161177,0.904984439110031,0.0
126,5.902435187783247,119.10065556207434,0.3293734361661044,0.16195523795557557,0.0262294991012471,0.9450850909941191,0.0
127,5.510505148415512,109.01638054910761,0.3425692484662051,0.16383245228556453,0.02684107242190178,0.9442458895646098,0.0
128,6.360248790483721,347.63953438937483,0.34588409318030255,0.15008056822310123,0.022524176958168943,0.9271043240054957,0.0
129,6.181361545459957,324.1120683791207,0.3702557596091889,0.14848072657621442,0.02204652616460055,0.9480451457462804,0.0
130,4.970763291924938,148.96703058439414,0.3823766630206109,0.16184768103644762,0.026194671856875688,0.9511331889359693,0.0
131,6.43971974933891,224.0053439787771,0.3309449370724876,0.15945316238627463,0.02542531099498367,0.9250459925155371,0.0
132,6.657887576631039,404.44225356902956,0.36583933347308245,0.1608240056067106,0.025864360779387276,0.9378341598428808,0.0
133,6.444136928296303,384.3022005118656,0.3656882099273212,0.1603078190079813,0.025698596835095688,0.9404951089867305,0.0
134,8.673517757994711,394.4807944119922,0.28172994846297555,0.14948640483664266,0.022346185230984625,0.9398129646143367,0.0
135,8.079638888180328,373.6345879141903,0.29870645702076776,0.15300981691703663,0.023412004072985073,0.9410410572060306,0.0
136,5.126123425928287,145.87529653342858,0.37812788563873123,0.1592321404393972,0.02535487454891192,0.9198038570915373,0.0
137,5.339008919385423,201.13113367174282,0.38676474563599833,0.15659814232529015,0.024522978179731834,0.8952125670045205,0.0
138,7.603046960691784,446.4703742910832,0.33542268784512186,0.15443283689870332,0.023849501112581502,0.9082774043344379,0.0
139,5.569920244198999,230.0889706570075,0.38283245111257214,0.1592960458578912,0.025375230225959375,0.919322659957111,0.0
140,8.826618286015522,916.6722125857713,0.3610809463579905,0.16686590605672,0.027844230604130105,0.8787943748241676,0.0
141,7.558005764864935,536.5269622222789,0.3456180616987605,0.17072104369007102,0.02914567475862714,0.903453095263149,0.0
142,9.715381050769924,644.7031753522264,0.3065964183871494,0.1625003064375932,0.026406349592311692,0.9456030900158714,0.0
143,9.764367522893657,535.6267930175412,0.29609997105995295,0.16412130933146798,0.026935804176675404,0.9527723667227018,0.0
144,9.554917140695014,515.1262424644373,0.2968195645407309,0.15910203714757812,0.025313458224509332,0.9468997159042211,0.0
145,9.275514628982476,577.0748497138825,0.30476381340721753,0.15962973414286374,0.02548165202252136,0.9419546066975114,0.0
146,6.505560798918449,233.77075733999945,0.32551348149066256,0.15833071828544618,0.02506861635278532,0.9403445492793348,0.0
147,6.661522502529568,284.9400938703669,0.3334658853167957,0.15781089454597005,0.02490427843739928,0.9431489955244688,0.0
148,4.979933508489997,232.42725896827622,0.4292442177912697,0.1641390373526373,0.02694162358305046,0.9323426559278308,0.0
149,5.931625130729791,261.05590133408157,0.3783997930852964,0.16849940327582832,0.028392048904310227,0.9261354504312916,0.0
150,7.239027200299297,496.6229348944384,0.36365354873842076,0.16817077442516323,0.028281409370759136,0.916325962834242,0.0
151,6.676723294985927,496.0142612385106,0.35951903170171773,0.17033073481208802,0.029012559221625853,0.9308968647504968,0.0
152,2.456221462643165,69.3381820268857,0.5482271474899464,0.26854955850298934,0.07211886537215048,0.9709861039251497,0.0
153,2.754954977935361,36.21042607283455,0.48469904050740803,0.23206590321688852,0.05385458343587027,0.9647467273807261,0.0
154,6.22927241962775,281.7628540332798,0.3762378067489516,0.16123132664018808,0.025995540690155024,0.9274350285705264,0.0
155,5.988780620530743,309.00748667193847,0.3932612198225994,0.1654103905796555,0.02736059731171419,0.9376064224663526,0.0
156,6.764835174178845,317.02808883673873,0.36190872602672935,0.16193675866034346,0.02622351380541832,0.930388466802484,0.0
157,6.792282053244225,312.62828099890305,0.36121374754129454,0.16577269244578893,0.027480585560726124,0.9293369890092734,0.0
158,6.491150762271595,176.41530197518898,0.3757953785439662,0.2116426144346496,0.04479259624473375,0.9624359468720923,0.0
159,6.146068753241672,457.8040583628803,0.42074320311331753,0.17727745663835376,0.0314272966321634,0.8836980252705973,0.0
